model,seed,scenario_id,modalities,rho,location,sample_count,accuracy,macro_f1,mae,pearson,selection_score
TFN,43,text+audio_r0.3_early,text+audio,0.3,early,728,0.603021978022,0.585941043084,0.645851630472,0.592849242418,0.719436425976
TFN,43,text+audio_r0.3_middle,text+audio,0.3,middle,728,0.596153846154,0.583141968512,0.648556195798,0.572056266927,0.714307812207
TFN,43,text+audio_r0.3_late,text+audio,0.3,late,728,0.446428571429,0.440151235053,0.728330613682,0.430615685241,0.620124803372
TFN,43,text+vision_r0.3_early,text+vision,0.3,early,728,0.612637362637,0.581312988351,0.640409753719,0.59471859103,0.721143671888
TFN,43,text+vision_r0.3_middle,text+vision,0.3,middle,728,0.597527472527,0.567238567377,0.642126268431,0.573884524596,0.711171814366
TFN,43,text+vision_r0.3_late,text+vision,0.3,late,728,0.538461538462,0.511048496485,0.727549193053,0.429676828464,0.660772562584
TFN,43,audio+vision_r0.3_early,audio+vision,0.3,early,728,0.608516483516,0.589561122809,0.652206208925,0.590452018812,0.721150645228
TFN,43,audio+vision_r0.3_middle,audio+vision,0.3,middle,728,0.607142857143,0.589292680334,0.655044985505,0.589393366116,0.720489514071
TFN,43,audio+vision_r0.3_late,audio+vision,0.3,late,728,0.607142857143,0.588517825991,0.646443292115,0.592102132628,0.720992800191
TFN,44,text_r0.1_early,text,0.1,early,728,0.612637362637,0.582266437906,0.632195815076,0.617786651001,0.724607789216
TFN,44,text_r0.1_middle,text,0.1,middle,728,0.607142857143,0.581641688375,0.633350418348,0.602631411155,0.721135462009
TFN,44,text_r0.1_late,text,0.1,late,728,0.583791208791,0.559998390486,0.653967433087,0.581338593665,0.706366080982
TFN,44,text_r0.2_early,text,0.2,early,728,0.60989010989,0.580486923752,0.635102175539,0.613752067643,0.722850676218
TFN,44,text_r0.2_middle,text,0.2,middle,728,0.597527472527,0.574133572514,0.6347693599,0.588625066558,0.715044671251
TFN,44,text_r0.2_late,text,0.2,late,728,0.501373626374,0.483948032961,0.703822836439,0.483622790498,0.652457312128
TFN,44,text_r0.3_early,text,0.3,early,728,0.605769230769,0.580016995483,0.637502478267,0.607721024133,0.720849081319
TFN,44,text_r0.3_middle,text,0.3,middle,728,0.597527472527,0.578395182556,0.633498124875,0.579163072971,0.714980292689
TFN,44,text_r0.3_late,text,0.3,late,728,0.432692307692,0.398086115943,0.72976869247,0.393279847335,0.601447557973
TFN,44,text_r0.4_early,text,0.4,early,728,0.603021978022,0.579018963192,0.634354320211,0.604192611675,0.719602881754
TFN,44,text_r0.4_middle,text,0.4,middle,728,0.57967032967,0.562260568082,0.631035295059,0.576695836625,0.706276566722
TFN,44,text_r0.4_late,text,0.4,late,728,0.391483516484,0.337503270048,0.745739197906,0.323647332929,0.56663014667
TFN,44,text_r0.5_early,text,0.5,early,728,0.590659340659,0.566727725009,0.638271358775,0.592485766117,0.711812847233
TFN,44,text_r0.5_middle,text,0.5,middle,728,0.578296703297,0.560236207804,0.632744461615,0.57105060788,0.704650201193
TFN,44,text_r0.5_late,text,0.5,late,728,0.366758241758,0.298274335029,0.753315309308,0.262814057796,0.542721763534
TFN,44,audio_r0.1_early,audio,0.1,early,728,0.604395604396,0.579504674143,0.628624623959,0.617230242209,0.721936157246
TFN,44,audio_r0.1_middle,audio,0.1,middle,728,0.596153846154,0.575104805712,0.622918071778,0.619779624544,0.719332196377
TFN,44,audio_r0.1_late,audio,0.1,late,728,0.601648351648,0.575600762183,0.628730660929,0.61744923311,0.720296321724
TFN,44,audio_r0.2_early,audio,0.2,early,728,0.586538461538,0.573945614738,0.621193216822,0.618888819537,0.71659907081
TFN,44,audio_r0.2_middle,audio,0.2,middle,728,0.586538461538,0.577151901229,0.617885248459,0.621856563849,0.717909442487
TFN,44,audio_r0.2_late,audio,0.2,late,728,0.596153846154,0.582118115573,0.620665788666,0.618967071118,0.721077799794
TFN,44,audio_r0.3_early,audio,0.3,early,728,0.586538461538,0.580160485573,0.620678800655,0.620766680611,0.71840895516
TFN,44,audio_r0.3_middle,audio,0.3,middle,728,0.581043956044,0.577920273121,0.619316254425,0.622501144646,0.716748856438
TFN,44,audio_r0.3_late,audio,0.3,late,728,0.593406593407,0.586927379431,0.618749059087,0.620217164822,0.721829428017
TFN,44,audio_r0.4_early,audio,0.4,early,728,0.581043956044,0.578608406262,0.624191526764,0.620795525571,0.716504550991
TFN,44,audio_r0.4_middle,audio,0.4,middle,728,0.57967032967,0.577498402742,0.625020409545,0.62216431241,0.71602020509
TFN,44,audio_r0.4_late,audio,0.4,late,728,0.582417582418,0.580167789698,0.621630035075,0.621184872284,0.717393200603
TFN,44,audio_r0.5_early,audio,0.5,early,728,0.570054945055,0.567966397886,0.630134382817,0.621957877267,0.710994471109
TFN,44,audio_r0.5_middle,audio,0.5,middle,728,0.563186813187,0.562490048844,0.632602592429,0.62288051559,0.707920838605
TFN,44,audio_r0.5_late,audio,0.5,late,728,0.565934065934,0.564926192136,0.62776757919,0.622217428773,0.709335260648
TFN,44,vision_r0.1_early,vision,0.1,early,728,0.608516483516,0.578187684236,0.634790367529,0.615852877839,0.722208053021
TFN,44,vision_r0.1_middle,vision,0.1,middle,728,0.611263736264,0.580703811037,0.634693274418,0.615359661331,0.723466291391
TFN,44,vision_r0.1_late,vision,0.1,late,728,0.60989010989,0.580119855401,0.63399778702,0.616233937769,0.723115159085
TFN,44,vision_r0.2_early,vision,0.2,early,728,0.611263736264,0.580972170293,0.63452462045,0.616043245481,0.723625856472
TFN,44,vision_r0.2_middle,vision,0.2,middle,728,0.619505494505,0.589345529733,0.634628615583,0.615092863465,0.72765650501
TFN,44,vision_r0.2_late,vision,0.2,late,728,0.60989010989,0.580894802761,0.633163108388,0.616635286584,0.723393842803
TFN,44,vision_r0.3_early,vision,0.3,early,728,0.615384615385,0.584758151702,0.634511265714,0.615877464944,0.725582405485
