model,seed,scenario_id,modality,rho,location,sample_count,accuracy,macro_f1,mae,pearson,selection_score,vision_all_zero_count,vision_all_zero_accuracy,vision_all_zero_macro_f1
B5-P2,43,vision_r0.1_late,vision,0.1,late,728,0.64010989011,0.627014985749,0.598708079565,0.649879521242,0.748069989138,15,0.466666666667,0.49728049728
B5-P2,43,vision_r0.2_early,vision,0.2,early,728,0.638736263736,0.624522458075,0.599672854069,0.650029417877,0.747081988768,15,0.466666666667,0.49728049728
B5-P2,43,vision_r0.2_middle,vision,0.2,middle,728,0.633241758242,0.619460194609,0.598650967835,0.650561233253,0.744551852043,15,0.466666666667,0.49728049728
B5-P2,43,vision_r0.2_late,vision,0.2,late,728,0.637362637363,0.623396991239,0.598515289718,0.649884371114,0.746487316468,15,0.466666666667,0.49728049728
B5-P2,43,vision_r0.3_early,vision,0.3,early,728,0.633241758242,0.618476853953,0.601130724076,0.649018755186,0.744009883944,15,0.466666666667,0.49728049728
B5-P2,43,vision_r0.3_middle,vision,0.3,middle,728,0.634615384615,0.62045973169,0.598372267488,0.650708176372,0.745175123311,15,0.466666666667,0.49728049728
B5-P2,43,vision_r0.3_late,vision,0.3,late,728,0.635989010989,0.62244212524,0.597988699276,0.649634088649,0.745895849335,15,0.466666666667,0.49728049728
B5-P2,43,vision_r0.4_early,vision,0.4,early,728,0.635989010989,0.620388505539,0.601873871809,0.6483779359,0.745063543128,15,0.466666666667,0.49728049728
B5-P2,43,vision_r0.4_middle,vision,0.4,middle,728,0.635989010989,0.621954961323,0.598163653324,0.650894162986,0.745924277896,15,0.466666666667,0.49728049728
B5-P2,43,vision_r0.4_late,vision,0.4,late,728,0.642857142857,0.629135205879,0.596843102051,0.650042024516,0.749384877663,15,0.466666666667,0.49728049728
B5-P2,43,vision_r0.5_early,vision,0.5,early,728,0.631868131868,0.616900144851,0.603214287081,0.648069800007,0.743066865552,15,0.466666666667,0.49728049728
B5-P2,43,vision_r0.5_middle,vision,0.5,middle,728,0.635989010989,0.622263412039,0.599279924091,0.649978877398,0.745840468595,15,0.466666666667,0.49728049728
