model,training_seed,scenario_id,modalities,rho,location,sample_count,accuracy,macro_f1,mae,pearson,selection_score,vision_all_zero_count,vision_all_zero_accuracy,vision_all_zero_macro_f1
B0-WCE,43,audio_r0.2_early,audio,0.2,early,728,0.6373626373626373,0.6159943192590218,0.5960407979929676,0.6406821530038697,0.7435894750311915,15,0.5333333333333333,0.5555555555555555
B0-WCE,43,audio_r0.2_middle,audio,0.2,middle,728,0.6373626373626373,0.6159943192590218,0.5965494484548549,0.64045107772702,0.74353939685234,15,0.5333333333333333,0.5555555555555555
B0-WCE,43,audio_r0.2_late,audio,0.2,late,728,0.6373626373626373,0.6159943192590218,0.596829545136623,0.6403174194792084,0.7435110188762899,15,0.5333333333333333,0.5555555555555555
B0-WCE,43,audio_r0.3_early,audio,0.3,early,728,0.6373626373626373,0.6159943192590218,0.5958973254527447,0.640690436071454,0.7435964884371489,15,0.5333333333333333,0.5555555555555555
B0-WCE,43,audio_r0.3_middle,audio,0.3,middle,728,0.635989010989011,0.6148976258168348,0.5966154597699642,0.6404166679511333,0.7429147652049379,15,0.5333333333333333,0.5555555555555555
B0-WCE,43,audio_r0.3_late,audio,0.3,late,728,0.6373626373626373,0.6159943192590218,0.5968518514431768,0.6403222976266228,0.7435106992152769,15,0.5333333333333333,0.5555555555555555
B0-WCE,43,audio_r0.4_early,audio,0.4,early,728,0.6373626373626373,0.6159943192590218,0.595993024767837,0.6406707079899653,0.7435900349555006,15,0.5333333333333333,0.5555555555555555
B0-WCE,43,audio_r0.4_middle,audio,0.4,middle,728,0.635989010989011,0.6148976258168348,0.5969892652336877,0.6403128121817139,0.7428862080061054,15,0.5333333333333333,0.5555555555555555
B0-WCE,43,audio_r0.4_late,audio,0.4,late,728,0.6373626373626373,0.6159249317519111,0.5968886343097048,0.6403156773870485,0.7434909921891137,15,0.5333333333333333,0.5555555555555555
B0-WCE,43,audio_r0.5_early,audio,0.5,early,728,0.6373626373626373,0.6159943192590218,0.596352239103558,0.6405447740686964,0.7435593259513537,15,0.5333333333333333,0.5555555555555555
B0-WCE,43,audio_r0.5_middle,audio,0.5,middle,728,0.635989010989011,0.6148976258168348,0.5970105553598521,0.6402752051065949,0.7428806200331253,15,0.5333333333333333,0.5555555555555555
B0-WCE,43,audio_r0.5_late,audio,0.5,late,728,0.6387362637362637,0.6170243978554035,0.5971611780728531,0.64015043973016,0.7440772546111513,15,0.5333333333333333,0.5555555555555555
B0-WCE,43,vision_r0.1_early,vision,0.1,early,728,0.6346153846153846,0.6124162657669512,0.5965700442698058,0.6407499835536276,0.7419945753618788,15,0.5333333333333333,0.5555555555555555
B0-WCE,43,vision_r0.1_middle,vision,0.1,middle,728,0.6387362637362637,0.6167939530102856,0.5963029836939013,0.6409656601809681,0.7441573040553459,15,0.5333333333333333,0.5555555555555555
B0-WCE,43,vision_r0.1_late,vision,0.1,late,728,0.635989010989011,0.6145287954102457,0.5967032513990589,0.6402761672547819,0.742801337031701,15,0.5333333333333333,0.5555555555555555
B0-WCE,43,vision_r0.2_early,vision,0.2,early,728,0.6373626373626373,0.6159943192590218,0.5972888448766873,0.6403979841991495,0.7435019519771131,15,0.5333333333333333,0.5555555555555555
B0-WCE,43,vision_r0.2_middle,vision,0.2,middle,728,0.6373626373626373,0.616283792724532,0.5962277735675593,0.641264337093138,0.7437268257597862,15,0.5333333333333333,0.5555555555555555
B0-WCE,43,vision_r0.2_late,vision,0.2,late,728,0.635989010989011,0.6151423182854873,0.5969275891330543,0.6403465689340412,0.7429541705548358,15,0.5333333333333333,0.5555555555555555
B0-WCE,43,vision_r0.3_early,vision,0.3,early,728,0.6346153846153846,0.6131498243541651,0.5988162019044406,0.6391370172404849,0.7418827543180964,15,0.5333333333333333,0.5555555555555555
B0-WCE,43,vision_r0.3_middle,vision,0.3,middle,728,0.635989010989011,0.6145004054329357,0.5960111031206426,0.6415006446637815,0.7429761387250993,15,0.5333333333333333,0.5555555555555555
B0-WCE,43,vision_r0.3_late,vision,0.3,late,728,0.6346153846153846,0.6138800389193089,0.5966685846969895,0.6398869347519844,0.7422485316986303,15,0.5333333333333333,0.5555555555555555
B0-WCE,43,vision_r0.4_early,vision,0.4,early,728,0.6346153846153846,0.6136534534088497,0.5996954042955742,0.6383415095744823,0.7418725896905534,15,0.5333333333333333,0.5555555555555555
B0-WCE,43,vision_r0.4_middle,vision,0.4,middle,728,0.6373626373626373,0.6152719475098563,0.5959726413456048,0.6417448429635638,0.7435445581991686,15,0.5333333333333333,0.5555555555555555
B0-WCE,43,vision_r0.4_late,vision,0.4,late,728,0.6346153846153846,0.6136765476862246,0.5956043036664825,0.6403284701599594,0.7422971958592938,15,0.5333333333333333,0.5555555555555555
B0-WCE,43,vision_r0.5_early,vision,0.5,early,728,0.6332417582417582,0.6113299090373291,0.6006000874676629,0.6381640049497913,0.7408884137940097,15,0.5333333333333333,0.5555555555555555
B0-WCE,43,vision_r0.5_middle,vision,0.5,middle,728,0.635989010989011,0.6132298211905627,0.5970393395522139,0.6407017920542276,0.7425157929036629,15,0.5333333333333333,0.5555555555555555
B0-WCE,43,vision_r0.5_late,vision,0.5,late,728,0.6346153846153846,0.6139754391946468,0.5957105363678228,0.6401523096506957,0.7423454723101856,15,0.5333333333333333,0.5555555555555555
B0-WCE,43,text+audio_r0.3_early,text+audio,0.3,early,728,0.6236263736263736,0.6015510710553814,0.6053816762210412,0.6255335797001408,0.7342618221237462,15,0.5333333333333333,0.5555555555555555
B0-WCE,43,text+audio_r0.3_middle,text+audio,0.3,middle,728,0.6263736263736264,0.6102579531738198,0.5979455173179343,0.634103260475311,0.7385064058913615,15,0.5333333333333333,0.48981481481481476
B0-WCE,43,text+audio_r0.3_late,text+audio,0.3,late,728,0.6263736263736264,0.5931169822376366,0.610342127644549,0.6308454861747299,0.7332974159394674,15,0.5333333333333333,0.546031746031746
B0-WCE,43,text+vision_r0.3_early,text+vision,0.3,early,728,0.6195054945054945,0.5967848867211393,0.6076938211457333,0.6240610231873932,0.7317596473240102,15,0.5333333333333333,0.5555555555555555
B0-WCE,43,text+vision_r0.3_middle,text+vision,0.3,middle,728,0.6318681318681318,0.6169500845662886,0.5961958315213222,0.6347550400215545,0.7417074411312443,15,0.5333333333333333,0.48981481481481476
B0-WCE,43,text+vision_r0.3_late,text+vision,0.3,late,728,0.6236263736263736,0.5927903746453457,0.6093088538375694,0.6302256817025493,0.7324945283708497,15,0.6,0.6091686091686092
B0-WCE,43,audio+vision_r0.3_early,audio+vision,0.3,early,728,0.6346153846153846,0.6130022780921118,0.5984613390455207,0.6392325243028602,0.7418725920878348,15,0.5333333333333333,0.5555555555555555
B0-WCE,43,audio+vision_r0.3_middle,audio+vision,0.3,middle,728,0.6373626373626373,0.6158476396883145,0.597645061725116,0.6408583295318401,0.7435079828823381,15,0.5333333333333333,0.5555555555555555
B0-WCE,43,audio+vision_r0.3_late,audio+vision,0.3,late,728,0.6332417582417582,0.6124653064895845,0.5972493372571009,0.6396178789264573,0.7414936119962637,15,0.5333333333333333,0.5555555555555555
B0-WCE,44,clean,none,0.0,clean,728,0.6373626373626373,0.6218423070928129,0.6118226447091489,0.6454045366394934,0.7449841929975847,15,0.4666666666666667,0.4444444444444445
B0-WCE,44,text_r0.1_early,text,0.1,early,728,0.6291208791208791,0.6113980483247373,0.6171574282797647,0.6401025416235608,0.7394276567193591,15,0.4666666666666667,0.45384615384615384
B0-WCE,44,text_r0.1_middle,text,0.1,middle,728,0.6318681318681318,0.6205504604000844,0.6124198484889508,0.6398576531480912,0.7425693610235259,15,0.4666666666666667,0.4444444444444445
B0-WCE,44,text_r0.1_late,text,0.1,late,728,0.6414835164835165,0.6239297149528625,0.6181192364451568,0.6420285620828647,0.745851909934238,15,0.4666666666666667,0.45384615384615384
B0-WCE,44,text_r0.2_early,text,0.2,early,728,0.6318681318681318,0.6152311285623903,0.6230940153095667,0.63349846902124,0.7399998730973869,15,0.4666666666666667,0.45384615384615384
B0-WCE,44,text_r0.2_middle,text,0.2,middle,728,0.6208791208791209,0.6099701081195344,0.6139056295934286,0.6368010214786495,0.7367330337014354,15,0.4,0.37407407407407406
B0-WCE,44,text_r0.2_late,text,0.2,late,728,0.6263736263736264,0.6057342973161277,0.6187619297959648,0.640906236548459,0.7373585134161641,15,0.4666666666666667,0.45384615384615384
