model,training_seed,modalities,rho,accuracy,macro_f1,mae,pearson,selection_score,scenario_count_averaged
B5-P2,42,vision,0.1,0.6483516483516484,0.6233222550096915,0.6078456630879133,0.6463247082562666,0.7483821617437053,3
B5-P2,42,vision,0.2,0.6460622710622711,0.6216666067587874,0.6079416991068194,0.646353433588739,0.7473954945244061,3
B5-P2,42,vision,0.3,0.6474358974358975,0.6229319588583009,0.6080876236112837,0.6460615844521492,0.7480126778129315,3
B5-P2,42,vision,0.4,0.6456043956043956,0.6209534470081476,0.6082733079258884,0.6458886619262785,0.7470308222303419,3
B5-P2,42,vision,0.5,0.6433150183150184,0.6190732715785597,0.6079621664572493,0.6457016103085436,0.7459780168262438,3
B5-P2,43,audio,0.1,0.6401098901098901,0.6270149857494879,0.5986589096629849,0.6500527332492495,0.748093689385043,3
B5-P2,43,audio,0.2,0.6405677655677655,0.6273864270772893,0.598628501796706,0.6500586561861704,0.7483030259430056,3
B5-P2,43,audio,0.3,0.6405677655677655,0.6273864270772893,0.598655693197193,0.6500409033733735,0.7482996738663856,3
B5-P2,43,audio,0.4,0.6405677655677655,0.6273864270772893,0.5988033146566742,0.6500037993257956,0.7482888849662933,3
B5-P2,43,audio,0.5,0.6405677655677655,0.6272102395535055,0.5990772189132378,0.6499443419719476,0.7482259932387596,3
B5-P2,43,text,0.1,0.6282051282051282,0.6117190627752874,0.6019533685162909,0.6469765540847192,0.7407717266508483,3
B5-P2,43,text,0.2,0.6259157509157509,0.6090610935172015,0.6054457962383335,0.6422702393157569,0.7388010828461105,3
B5-P2,43,text,0.3,0.6254578754578755,0.6105884085161923,0.608012137622419,0.6361671296582387,0.7381986231331961,3
B5-P2,43,text,0.4,0.6153846153846154,0.6011908578723436,0.6074699871566133,0.6324986080284043,0.7328949448529314,3
B5-P2,43,text,0.5,0.6007326007326007,0.5909188500281415,0.6174392099765167,0.6182859250682273,0.7244719695746924,3
B5-P2,43,vision,0.1,0.6396520146520146,0.6265899299426481,0.5988229683262634,0.6501620567322652,0.7478797862266046,3
B5-P2,43,vision,0.2,0.6364468864468864,0.6224598813079041,0.5989463705409168,0.6501583407478924,0.7460403857596459,3
B5-P2,43,vision,0.3,0.6346153846153846,0.6204595702942459,0.5991638969466254,0.6497870067357588,0.7450269521966014,3
B5-P2,43,vision,0.4,0.6382783882783882,0.6238262242473076,0.5989602090613473,0.6497713744674505,0.7467908995622992,3
B5-P2,43,vision,0.5,0.6369047619047619,0.6227499573369542,0.5998264585379443,0.649326083350206,0.7460866711234571,3
B5-P2,44,audio,0.1,0.6364468864468864,0.6211105687211786,0.6111979339009104,0.6453152647353231,0.7445871913047271,3
B5-P2,44,audio,0.2,0.6364468864468864,0.6211105687211786,0.6111952193565803,0.6453134589416032,0.7445870786865258,3
B5-P2,44,audio,0.3,0.6364468864468864,0.6211121344019408,0.6111767974804964,0.6453264670549579,0.7445898636990559,3
B5-P2,44,audio,0.4,0.6364468864468864,0.6210789908405191,0.6111658966602014,0.6453292521754748,0.7445823801496106,3
B5-P2,44,audio,0.5,0.6364468864468864,0.6211460215849247,0.6114879581145942,0.6452112413066426,0.7445709672498416,3
B5-P2,44,text,0.1,0.6332417582417582,0.6178778483207062,0.6150184257123141,0.6406592101751206,0.7422365351744932,3
B5-P2,44,text,0.2,0.6259157509157509,0.6099468743821342,0.6177282359028037,0.6370625598203773,0.7378597998060683,3
B5-P2,44,text,0.3,0.6272893772893773,0.6129645046082368,0.6205223555959788,0.6319460102200054,0.7382016236020718,3
B5-P2,44,text,0.4,0.6172161172161172,0.6049041002581951,0.6193154182919598,0.6300085007344058,0.7334763078648806,3
B5-P2,44,text,0.5,0.6071428571428572,0.5977466976537225,0.6291638244567745,0.6154154540921319,0.7269341611082958,3
B5-P2,44,vision,0.1,0.635989010989011,0.620816381112997,0.6104076931034743,0.6454967923100822,0.7444547931849509,3
B5-P2,44,vision,0.2,0.6364468864468864,0.6213176161044626,0.6103527734547363,0.6454414833130452,0.7446899454913539,3
B5-P2,44,vision,0.3,0.6346153846153846,0.6200025665167785,0.6102480278435699,0.6449680098901451,0.7438484878591601,3
B5-P2,44,vision,0.4,0.6318681318681318,0.6169552007507693,0.6096398286221228,0.6444763131422018,0.7423637127715788,3
B5-P2,44,vision,0.5,0.6323260073260073,0.6172581546971257,0.6085623359570327,0.6440679708360937,0.7425477728620853,3
