model,scenario_id,modalities,rho,location,sample_count,accuracy,macro_f1,mae,pearson,selection_score,delta_accuracy,delta_macro_f1,delta_mae,delta_pearson,delta_selection_score
B3.1-alpha0.25,text_r0.2_middle,text,0.2,middle,728,0.6318681318681318,0.6145507714026419,0.5986204499245754,0.6346960174787359,0.7409992092556781,0.0013736263736263687,0.004646778025206411,0.0008101848332764394,-0.00521152466156749,0.0008199028156257171
B3.1-alpha0.25,text_r0.2_late,text,0.2,late,728,0.625,0.5955903998913024,0.6083706661772269,0.6331154883009451,0.7339382582530594,-0.005494505494505475,-0.014313593486133147,0.010560401085927928,-0.006792053839358325,-0.0062410481869930035
B3.1-alpha0.25,text_r0.3_early,text,0.3,early,728,0.6236263736263736,0.6025370943097249,0.6068519622977864,0.6255072784944354,0.7344437783667546,-0.006868131868131844,-0.007366899067710597,0.009041697206487398,-0.014400263645867994,-0.005735528073297802
B3.1-alpha0.25,text_r0.3_middle,text,0.3,middle,728,0.6277472527472527,0.6131784469149558,0.5976323837741881,0.633333695505806,0.7394967875298534,-0.0027472527472527375,0.0032744535375203165,-0.00017788131711082844,-0.006573846634497449,-0.0006825189101989926
B3.1-alpha0.25,text_r0.3_late,text,0.3,late,728,0.6236263736263736,0.5927579365079365,0.6103088607049578,0.630511774095296,0.732480513432783,-0.006868131868131844,-0.017146056869498993,0.012498595613658847,-0.009395768045007413,-0.007698793007269389
B3.1-alpha0.25,text_r0.4_early,text,0.4,early,728,0.6208791208791209,0.5993961115009898,0.6090401372268468,0.620655332952286,0.7322740523296114,-0.009615384615384581,-0.01050788187644569,0.011229872135547825,-0.0192522091880174,-0.007905254110440962
B3.1-alpha0.25,text_r0.4_middle,text,0.4,middle,728,0.6167582417582418,0.6042687980566416,0.5930915923410474,0.6333444442636975,0.7347126658058061,-0.013736263736263687,-0.005635195320793929,-0.004718672750251618,-0.006563097876605917,-0.005466640634246289
B3.1-alpha0.25,text_r0.4_late,text,0.4,late,728,0.6153846153846154,0.587006470206371,0.6134095894490051,0.6265680929638302,0.7283600501245168,-0.015109890109890056,-0.022897523171064527,0.015599324357706168,-0.013339449176473228,-0.011819256315535598
B3.1-alpha0.25,text_r0.5_early,text,0.5,early,728,0.6085164835164835,0.591566272903635,0.6206673586198671,0.6022746579061443,0.7244438814008032,-0.02197802197802201,-0.018337720473800556,0.02285709352856813,-0.037632884234159114,-0.015735425039249185
B3.1-alpha0.25,text_r0.5_middle,text,0.5,middle,728,0.6153846153846154,0.6070215241744636,0.6004744703103635,0.6243992345811895,0.7336316696161533,-0.015109890109890056,-0.00288246920297186,0.0026642052190645193,-0.01550830755911392,-0.006547636823899028
B3.1-alpha0.25,text_r0.5_late,text,0.5,late,728,0.6085164835164835,0.5845863197107019,0.6191908099719292,0.6181797168029654,0.7247485483250034,-0.02197802197802201,-0.025317673666733653,0.021380544880630237,-0.02172782533733808,-0.015430758115049015
B3.1-alpha0.25,audio_r0.1_early,audio,0.1,early,728,0.6318681318681318,0.6117556943537109,0.5979200492479971,0.6402829044052362,0.741027984220782,0.0013736263736263687,0.0018517009762754055,0.00010978415669815611,0.0003753622649327326,0.000848677780729612
B3.1-alpha0.25,audio_r0.1_middle,audio,0.1,middle,728,0.6304945054945055,0.6099039933774355,0.5982369771892471,0.6396055836196542,0.7401237819542233,0.0,0.0,0.00042671209794808984,-0.0003019585206491815,-5.5524485829017145e-05
B3.1-alpha0.25,audio_r0.1_late,audio,0.1,late,728,0.6304945054945055,0.6099039933774355,0.5981520661101728,0.6394786457347791,0.740111452680242,0.0,0.0,0.00034180101887382186,-0.00042889640552434827,-6.785375981033237e-05
B3.1-alpha0.25,audio_r0.2_early,audio,0.2,early,728,0.6346153846153846,0.6145846312909485,0.5978531440013795,0.6403627597143098,0.7424348012741478,0.004120879120879106,0.0046806379135130305,4.287891008047939e-05,0.0004552175740063502,0.002255494834095484
B3.1-alpha0.25,audio_r0.2_middle,audio,0.2,middle,728,0.6304945054945055,0.6099039933774355,0.5983127103555579,0.6395663278568829,0.7401157194352808,0.0,0.0,0.0005024452642589106,-0.0003412142834204879,-6.358700477160362e-05
B3.1-alpha0.25,audio_r0.2_late,audio,0.2,late,728,0.6318681318681318,0.6109842385204703,0.5979206289758312,0.6397441360737983,0.7407677500657157,0.0013736263736263687,0.0010802451430348414,0.00011036388453222745,-0.0001634060665051118,0.0005884436256633485
