model,scenario_id,modalities,rho,location,sample_count,accuracy,macro_f1,mae,pearson,selection_score,delta_accuracy,delta_macro_f1,delta_mae,delta_pearson,delta_selection_score
B1-WCE,text+audio_r0.3_middle,text+audio,0.3,middle,728,0.5934065934065934,0.579799379842823,0.6190923656858913,0.6272582182230984,0.7209132553533293,-0.030219780219780223,-0.024006213210081784,0.004625174124817222,-0.022791556736290408,-0.016598158538035923
B1-WCE,text+audio_r0.3_late,text+audio,0.3,late,728,0.5947802197802198,0.579833894784418,0.6207081458357336,0.6368739175761521,0.7223999289283562,-0.028846153846153855,-0.023971698268486774,0.006240954274659538,-0.013175857383236678,-0.015111484963008959
B1-WCE,text+vision_r0.3_early,text+vision,0.3,early,728,0.6057692307692307,0.5836438571824608,0.6281727141608576,0.62120245045145,0.7238297152043184,-0.017857142857142905,-0.02016173587044401,0.013705522599783526,-0.02884732450793881,-0.013681698687046828
B1-WCE,text+vision_r0.3_middle,text+vision,0.3,middle,728,0.6002747252747253,0.5772901614539366,0.6271237660772525,0.6274325536896789,0.7216901339734898,-0.02335164835164838,-0.026515431598968187,0.01265657451617841,-0.022617221269709886,-0.015821279917875408
B1-WCE,text+vision_r0.3_late,text+vision,0.3,late,728,0.5961538461538461,0.5736671134953221,0.6280451970236315,0.6376659112335986,0.7209949289405073,-0.027472527472527486,-0.030138479557582754,0.013578005462557385,-0.012383863725790145,-0.01651648495085789
B1-WCE,audio+vision_r0.3_early,audio+vision,0.3,early,728,0.6208791208791209,0.5998929387073507,0.6197285508061503,0.6480120075990191,0.7353724928962391,-0.0027472527472527375,-0.003912654345554101,0.0052613592450762026,-0.0020377673603696467,-0.0021389209951261368
B1-WCE,audio+vision_r0.3_middle,audio+vision,0.3,middle,728,0.6167582417582418,0.5955946938505078,0.6249206135520241,0.6472016506960636,0.7329500813411944,-0.006868131868131844,-0.008210899202397037,0.010453421990950007,-0.002848124263325147,-0.004561332550170771
B1-WCE,audio+vision_r0.3_late,audio+vision,0.3,late,728,0.6195054945054945,0.5997958244874692,0.6204975953243754,0.64763430350759,0.7349255512148407,-0.004120879120879106,-0.004009768565435667,0.0060304037633013285,-0.0024154714517987674,-0.0025858626765244974
B2-B0-BlockMask,clean,none,0.0,clean,728,0.635989010989011,0.6161693641417542,0.623218274066368,0.633625072091201,0.7412752997079928,0.0,0.0,0.0,0.0,0.0
B2-B0-BlockMask,text_r0.1_early,text,0.1,early,728,0.6346153846153846,0.6152871911680896,0.623643887756331,0.6313777778594893,0.7404127041884576,-0.0013736263736263687,-0.0008821729736645523,0.000425613689962967,-0.0022472942317116607,-0.0008625955195351587
B2-B0-BlockMask,text_r0.1_middle,text,0.1,middle,728,0.6332417582417582,0.6140543747951538,0.623578449921007,0.6289785361453665,0.7394639148640235,-0.0027472527472527375,-0.002114989346600371,0.0003601758546389888,-0.004646535945834529,-0.0018113848439692548
B2-B0-BlockMask,text_r0.1_late,text,0.1,late,728,0.6304945054945055,0.6056290257616093,0.6256734604210399,0.6326062557580167,0.7370369372662374,-0.005494505494505475,-0.010540338380144898,0.002455186354671901,-0.001018816333184347,-0.00423836244175535
B2-B0-BlockMask,text_r0.2_early,text,0.2,early,728,0.6332417582417582,0.6145169320607917,0.6241153951396572,0.6279735442040222,0.7394315574703212,-0.0027472527472527375,-0.0016524320809624404,0.0008971210732892088,-0.00565152788717882,-0.0018437422376715862
B2-B0-BlockMask,text_r0.2_middle,text,0.2,middle,728,0.6263736263736264,0.6070026724822216,0.6212154095685416,0.6264991355053888,0.7357724912534463,-0.009615384615384581,-0.009166691659532544,-0.0020028644978263843,-0.007125936585812176,-0.005502808454546426
B2-B0-BlockMask,text_r0.2_late,text,0.2,late,728,0.6291208791208791,0.603678961784852,0.6302459900021798,0.6283803078237628,0.735487249120979,-0.006868131868131844,-0.01249040235690213,0.007027715935811862,-0.005244764267438251,-0.0057880505870138155
B2-B0-BlockMask,text_r0.3_early,text,0.3,early,728,0.6208791208791209,0.6030451599176286,0.628262841987045,0.6178759377775785,0.7320379440052578,-0.015109890109890056,-0.013124204224125524,0.005044567920676979,-0.01574913431362246,-0.009237355702734984
B2-B0-BlockMask,text_r0.3_middle,text,0.3,middle,728,0.625,0.6088112419704059,0.6199605547782074,0.6240383894429342,0.735625919390543,-0.01098901098901095,-0.007358122171348236,-0.0032577192881605432,-0.009586682648266787,-0.00564938031744977
B2-B0-BlockMask,text_r0.3_late,text,0.3,late,728,0.6304945054945055,0.6079783699861773,0.6308431307386074,0.6270187631858343,0.736710433820958,-0.005494505494505475,-0.008190994155576892,0.007624856672239444,-0.006606308905366731,-0.0045648658870347525
B2-B0-BlockMask,text_r0.4_early,text,0.4,early,728,0.6167582417582418,0.6011615238781515,0.629889073157376,0.610572819177293,0.7295561657580358,-0.019230769230769162,-0.01500784026360269,0.006670799091007984,-0.023052252913908,-0.01171913394995694
B2-B0-BlockMask,text_r0.4_middle,text,0.4,middle,728,0.6195054945054945,0.604451865006198,0.6165859295556751,0.6246809149473969,0.7333833738481945,-0.016483516483516425,-0.011717499135556197,-0.006632344510692834,-0.008944157143804143,-0.007891925859798254
B2-B0-BlockMask,text_r0.4_late,text,0.4,late,728,0.6222527472527473,0.6002618006876177,0.6314616738102183,0.6242183576938178,0.7323450286213927,-0.013736263736263687,-0.015907563454136464,0.008243399743850355,-0.009406714397383165,-0.00893027108660005
B2-B0-BlockMask,text_r0.5_early,text,0.5,early,728,0.5961538461538461,0.5805390206493052,0.6426943465350912,0.5899201897029396,0.7161343093080265,-0.039835164835164805,-0.03563034349244898,0.019476072468723182,-0.04370488238826142,-0.025140990399966312
B2-B0-BlockMask,text_r0.5_middle,text,0.5,middle,728,0.6043956043956044,0.5907495294164764,0.6198555556852575,0.616030217074049,0.7249627457670572,-0.03159340659340659,-0.025419834725277757,-0.0033627183811104633,-0.017594855017151967,-0.01631255394093556
B2-B0-BlockMask,text_r0.5_late,text,0.5,late,728,0.614010989010989,0.5923065086042953,0.6341232729737984,0.6149579042046601,0.7270273093888286,-0.0219780219780219,-0.023862855537458816,0.010904998907430463,-0.01866716788654088,-0.014247990319164128
B2-B0-BlockMask,audio_r0.1_early,audio,0.1,early,728,0.635989010989011,0.6161693641417542,0.6231447986357814,0.63364994139514,0.7412814698472595,0.0,0.0,-7.347543058655592e-05,2.4869303938968024e-05,6.170139266736818e-06
B2-B0-BlockMask,audio_r0.1_middle,audio,0.1,middle,728,0.635989010989011,0.6161693641417542,0.6232490534740653,0.6336395191578594,0.7412758231160044,0.0,0.0,3.077940769735665e-05,1.4447066658429542e-05,5.234080115990025e-07
B2-B0-BlockMask,audio_r0.1_late,audio,0.1,late,728,0.635989010989011,0.6161693641417542,0.623514767229598,0.6335233215902821,0.7412502270135766,0.0,0.0,0.00029649316322999386,-0.0001017505009188735,-2.5072694416206076e-05
B2-B0-BlockMask,audio_r0.2_early,audio,0.2,early,728,0.635989010989011,0.6161693641417542,0.623046005492682,0.6336875833965453,0.7412902914783978,0.0,0.0,-0.00017226857368601856,6.251130534429272e-05,1.4991770404981786e-05
B2-B0-BlockMask,audio_r0.2_middle,audio,0.2,middle,728,0.635989010989011,0.6161693641417542,0.6232122269070165,0.6336526531649741,0.7412789993071873,0.0,0.0,-6.047159351485476e-06,2.7581073773097486e-05,3.6995991945509843e-06
B2-B0-BlockMask,audio_r0.2_late,audio,0.2,late,728,0.635989010989011,0.6161693641417542,0.6235684942924878,0.63348563569272,0.741243277648761,0.0,0.0,0.00035022022611985726,-0.00013943639848101874,-3.2022059231806566e-05
B2-B0-BlockMask,audio_r0.3_early,audio,0.3,early,728,0.635989010989011,0.6161693641417542,0.6232191252133267,0.6337067885881744,0.7412854788056578,0.0,0.0,8.511469586913734e-07,8.171649697341632e-05,1.0179097664986259e-05
B2-B0-BlockMask,audio_r0.3_middle,audio,0.3,middle,728,0.635989010989011,0.6161693641417542,0.6232457875970056,0.6336471018971468,0.7412769070366261,0.0,0.0,2.751353063756845e-05,2.202980594578907e-05,1.6073286333018189e-06
B2-B0-BlockMask,audio_r0.3_late,audio,0.3,late,728,0.635989010989011,0.6161693641417542,0.6235897647790037,0.6334889381603399,0.7412428041869419,0.0,0.0,0.00037149071263575806,-0.00013613393086109316,-3.2495521050890375e-05
B2-B0-BlockMask,audio_r0.4_early,audio,0.4,early,728,0.635989010989011,0.6161693641417542,0.6232752541622536,0.6337109007102253,0.7412836541147089,0.0,0.0,5.698009588561703e-05,8.582861902428629e-05,8.354406716093443e-06
B2-B0-BlockMask,audio_r0.4_middle,audio,0.4,middle,728,0.6373626373626373,0.6172671791151672,0.6235873170278885,0.6335910330390054,0.7418735283731648,0.0013736263736263687,0.0010978149734129916,0.00036904296152051597,-3.403905219556691e-05,0.000598228665172007
B2-B0-BlockMask,audio_r0.4_late,audio,0.4,late,728,0.6332417582417582,0.6135760621180945,0.6235691562786208,0.6334928788931218,0.7399090167733275,-0.0027472527472527375,-0.002593302023659705,0.0003508822122527677,-0.00013219319807922236,-0.0013662829346652305
B2-B0-BlockMask,audio_r0.5_early,audio,0.5,early,728,0.635989010989011,0.6161693641417542,0.6233442773080462,0.6337497137891562,0.7412856297851673,0.0,0.0,0.00012600324167821864,0.00012464169795523006,1.033007717454737e-05
B2-B0-BlockMask,audio_r0.5_middle,audio,0.5,middle,728,0.6373626373626373,0.6172671791151672,0.6235802189733547,0.6335880737616704,0.7418734542157701,0.0013736263736263687,0.0010978149734129916,0.0003619449069867109,-3.699832953063531e-05,0.0005981545077773376
B2-B0-BlockMask,audio_r0.5_late,audio,0.5,late,728,0.6346153846153846,0.6150720555701358,0.6235564060478502,0.633477976324054,0.7406250901682263,-0.0013736263736263687,-0.0010973085716183828,0.0003381319814822481,-0.00014709576714699857,-0.0006502095397664664
B2-B0-BlockMask,vision_r0.1_early,vision,0.1,early,728,0.635989010989011,0.6164945646116825,0.6235388188807109,0.6333779429522151,0.7413123526491707,0.0,0.00032520046992834395,0.0003205448143429601,-0.00024712913898594646,3.705294117795077e-05
B2-B0-BlockMask,vision_r0.1_middle,vision,0.1,middle,728,0.6318681318681318,0.6111900593373045,0.6243889407756237,0.6339979301843185,0.7389980832087479,-0.004120879120879106,-0.004979304804449636,0.0011706667092556966,0.00037285809311748963,-0.0022772164992448385
B2-B0-BlockMask,vision_r0.1_late,vision,0.1,late,728,0.6373626373626373,0.6176580125653454,0.6231002534309832,0.6336873031503328,0.7420035648161629,0.0013736263736263687,0.001488648423591199,-0.00011802063538479679,6.223105913183424e-05,0.0007282651081701452
B2-B0-BlockMask,vision_r0.2_early,vision,0.2,early,728,0.6332417582417582,0.6130126941146352,0.6248477164369363,0.63220172780368,0.7395535075463526,-0.0027472527472527375,-0.0031566700271189463,0.0016294423705682792,-0.001423344287521,-0.0017217921616401455
B2-B0-BlockMask,vision_r0.2_middle,vision,0.2,middle,728,0.6318681318681318,0.6116685872852435,0.6246558118120327,0.634409563815038,0.7391580497730555,-0.004120879120879106,-0.004500776856510624,0.0014375377456646854,0.0007844917238369886,-0.0021172499349372265
B2-B0-BlockMask,vision_r0.2_late,vision,0.2,late,728,0.6373626373626373,0.6167399494226223,0.6221181081075754,0.634744066678195,0.7419470671932736,0.0013736263736263687,0.0005705852808681744,-0.0011001659587925872,0.0011189945869940487,0.0006717674852808608
B2-B0-BlockMask,vision_r0.3_early,vision,0.3,early,728,0.635989010989011,0.6151970321189936,0.6265295726390412,0.6306573359977373,0.7405232789167582,0.0,-0.0009723320227605914,0.0033112985726732047,-0.00296773609346368,-0.0007520207912345978
B2-B0-BlockMask,vision_r0.3_middle,vision,0.3,middle,728,0.6263736263736264,0.6060166416649104,0.6250242788631183,0.6348262261541532,0.7364081669929401,-0.009615384615384581,-0.010152722476843734,0.0018060047967503046,0.001201154062952181,-0.00486713271505268
B2-B0-BlockMask,vision_r0.3_late,vision,0.3,late,728,0.6304945054945055,0.6112207580248921,0.6216426323996959,0.6348009960019482,0.7388771640301055,-0.005494505494505475,-0.004948606116862098,-0.001575641666672123,0.0011759239107471675,-0.0023981356778872698
B2-B0-BlockMask,vision_r0.4_early,vision,0.4,early,728,0.6332417582417582,0.6108242165845165,0.6280697817955125,0.6294390138530621,0.7385267961967218,-0.0027472527472527375,-0.005345147557237695,0.004851507729144555,-0.00418605823813889,-0.0027485035112709832
B2-B0-BlockMask,vision_r0.4_middle,vision,0.4,middle,728,0.6263736263736264,0.6058525072380675,0.6264027990298447,0.6347831091214506,0.7363043054168612,-0.009615384615384581,-0.010316856903686666,0.0031845249634767647,0.0011580370302496368,-0.00497099429113157
B2-B0-BlockMask,vision_r0.4_late,vision,0.4,late,728,0.6304945054945055,0.6118475560115009,0.6209306542116863,0.6357543565592428,0.7391826993542534,-0.005494505494505475,-0.004321808130253291,-0.002287619854681733,0.0021292844680418366,-0.002092600353739371
B2-B0-BlockMask,vision_r0.5_early,vision,0.5,early,728,0.6332417582417582,0.6101303033986666,0.6306660179468383,0.6289396387520094,0.7381827195063224,-0.0027472527472527375,-0.0060390607430875765,0.0074477438804703144,-0.00468543333919158,-0.0030925802016703585
B2-B0-BlockMask,vision_r0.5_middle,vision,0.5,middle,728,0.6304945054945055,0.6099953006241238,0.6281854709876435,0.6340080284640864,0.738199060463183,-0.005494505494505475,-0.00617406351763039,0.004967196921275563,0.0003829563728854346,-0.0030762392448098197
B2-B0-BlockMask,vision_r0.5_late,vision,0.5,late,728,0.6291208791208791,0.6094140732913781,0.6226770436995059,0.6355240857433849,0.7381293720001746,-0.006868131868131844,-0.006755290850376072,-0.0005412303668620444,0.001899013652183923,-0.0031459277078181858
B2-B0-BlockMask,text+audio_r0.3_early,text+audio,0.3,early,728,0.6208791208791209,0.6030451599176286,0.6280107197075427,0.6179777823488514,0.7320611796716462,-0.015109890109890056,-0.013124204224125524,0.0047924456411747585,-0.015647289742349635,-0.009214120036346585
B2-B0-BlockMask,text+audio_r0.3_middle,text+audio,0.3,middle,728,0.625,0.6088112419704059,0.6198100888907172,0.6241573902707483,0.7356470639059985,-0.01098901098901095,-0.007358122171348236,-0.0034081851756507797,-0.009467681820452656,-0.00562823580199423
B2-B0-BlockMask,text+audio_r0.3_late,text+audio,0.3,late,728,0.6291208791208791,0.6061753789525116,0.631169977459729,0.6268040570416585,0.7358758225877329,-0.006868131868131844,-0.009993985189242549,0.007951703393361043,-0.006821015049542467,-0.005399477120259899
B2-B0-BlockMask,text+vision_r0.3_early,text+vision,0.3,early,728,0.6236263736263736,0.6052529492140284,0.6314786450251691,0.6149685199526025,0.7327792854947939,-0.012362637362637319,-0.01091641492772577,0.008260370958801166,-0.018656552138598514,-0.0084960142131989
B2-B0-BlockMask,text+vision_r0.3_middle,text+vision,0.3,middle,728,0.6181318681318682,0.6025832112890298,0.6209320883512252,0.6250262629894332,0.7324348823809359,-0.017857142857142794,-0.013586152852724354,-0.00228618571514283,-0.008598809101767801,-0.008840417327056871
B2-B0-BlockMask,text+vision_r0.3_late,text+vision,0.3,late,728,0.6236263736263736,0.6020083111259037,0.629294765852187,0.6280635644503569,0.7336960015005228,-0.012362637362637319,-0.014161053015850467,0.006076491785819038,-0.005561507640844066,-0.007579298207469942
B2-B0-BlockMask,audio+vision_r0.3_early,audio+vision,0.3,early,728,0.635989010989011,0.6151970321189936,0.626537827339924,0.6307398273396723,0.74053324638863,0.0,-0.0009723320227605914,0.003319553273556042,-0.002885244751528737,-0.0007420533193627232
B2-B0-BlockMask,audio+vision_r0.3_middle,audio+vision,0.3,middle,728,0.625,0.6036129800782843,0.6257130107586528,0.6346538515586851,0.7354136010161295,-0.01098901098901095,-0.012556384063469817,0.002494736692284838,0.0010287794674841422,-0.00586169869186326
B2-B0-BlockMask,audio+vision_r0.3_late,audio+vision,0.3,late,728,0.6304945054945055,0.6112207580248921,0.6219913196944438,0.6346615670558083,0.738845206774557,-0.005494505494505475,-0.004948606116862098,-0.001226954371924216,0.0010364949646073374,-0.002430092933435768
B2-B1-BlockMask,clean,none,0.0,clean,728,0.6195054945054945,0.6054922443811332,0.6011303024734933,0.6536379574744896,0.7379070834695726,0.0,0.0,0.0,0.0,0.0
