model,category,group,accuracy_mean,accuracy_sd,macro_f1_mean,macro_f1_sd,mae_mean,mae_sd,pearson_mean,pearson_sd,selection_score_mean,selection_score_sd
MulT,by_ratio,0.2,0.6096357346357346,0.018549032386110737,0.5832404482801035,0.02275231510867089,0.6251255826980798,0.020293059600847665,0.6302113610347954,0.00798834138011041,0.7259485665792222,0.005873340976483655
MulT,by_ratio,0.3,0.6039377289377289,0.017781321556723507,0.57831246598963,0.02317971969552997,0.6288027464243287,0.01986564344634226,0.6260645285065228,0.006561585512160189,0.722620500360808,0.0062467705367736555
MulT,by_ratio,0.4,0.5973748473748475,0.019384596118996972,0.572212744526917,0.023513872759711504,0.6334641872208503,0.019607711785490204,0.621336787588071,0.004874522875450109,0.7186696552897478,0.007263598513578469
MulT,by_ratio,0.5,0.5878612128612128,0.023484609008615476,0.5629965963316754,0.025620350775433943,0.6411412843847234,0.020338227641645945,0.6119478442883263,0.002567559297948096,0.712493712651566,0.009636527731422269
MulT,double_stress,audio+vision,0.605921855921856,0.01921622800431885,0.5827821057673951,0.017748005028262084,0.6294242007562934,0.028753706609318485,0.6342377527862945,0.008919035102148747,0.725229701155754,0.005803097341668475
MulT,double_stress,text+audio,0.5717338217338217,0.043861346151028255,0.5558023779552921,0.02833376668068499,0.636928186659509,0.013277726941103027,0.6037538665474024,0.0035749756927516323,0.7058146087965576,0.017760772449870836
MulT,double_stress,text+vision,0.5850122100122099,0.023846184324275488,0.5577138403978924,0.031872372350675506,0.6348601673898584,0.010703913581939957,0.6097474972255148,0.005901708551505439,0.7104474427811376,0.00934774166829245
MulT,modality_location,audio/early,0.613003663003663,0.0204524310574337,0.5921901633328996,0.01871649666310189,0.6210197385477291,0.02297874718926142,0.6361622660674116,0.011441958876111291,0.7299429174030784,0.0063209862253598235
MulT,modality_location,audio/late,0.6117216117216118,0.01824253054545911,0.5901341051183714,0.019405340498682293,0.6254130113278021,0.02807426986780246,0.635680603493081,0.008934885691009387,0.7288651291746392,0.006558310889321571
MulT,modality_location,audio/middle,0.6090659340659341,0.01882018522907027,0.590022660622252,0.018378784719465212,0.6238133669242386,0.025327534460133493,0.6352715349179676,0.009727585606959927,0.7281888669149492,0.006700586425548696
MulT,modality_location,text/early,0.5825091575091575,0.02012132123716299,0.5623202001820902,0.0248655093644507,0.635977412622265,0.00826000435776176,0.6029518265349303,0.006833763175640361,0.7100772588804172,0.008775832571031553
MulT,modality_location,text/late,0.5637362637362637,0.04258773451385764,0.533086967964837,0.0426264385203645,0.6465377786766479,0.019313392230468858,0.5980205213862184,0.008873847942871925,0.6970192989870255,0.01870826271037165
MulT,modality_location,text/middle,0.5886446886446887,0.023982011164152134,0.5617626267984006,0.020514033949172995,0.6358518887930397,0.011084275106156543,0.6067530833733528,0.006301636052122793,0.7119521355827314,0.0067013296406455355
MulT,modality_location,vision/early,0.6176739926739927,0.011830211771490252,0.5898696462584083,0.022447425398239313,0.6238696848745066,0.0273421367644997,0.635923195869043,0.01065406935586507,0.7303817390136262,0.0038666745961745226
MulT,modality_location,vision/late,0.6188644688644689,0.010641246301608974,0.5865635983666392,0.02329668231825058,0.6305823627397105,0.03023001810303079,0.6351875990047573,0.011078311216481156,0.7294812015692171,0.003733025138912359
MulT,modality_location,vision/middle,0.6175824175824176,0.010978703957520947,0.5853861261683239,0.02624829125434686,0.6299240310041868,0.032408068555695634,0.6358077162914562,0.01125967890142375,0.728971265848943,0.005234922151146804
MulT,modality_rho,audio/0.1,0.617979242979243,0.015663981204454194,0.5922729356251113,0.020864494032545537,0.6224027532926091,0.02609813473578107,0.6366944118815855,0.010607950835156948,0.731216398082428,0.004708574848032271
MulT,modality_rho,audio/0.2,0.6155372405372406,0.019040867123016714,0.5929141628787561,0.017851663030061735,0.6228329704998241,0.025451487948424893,0.6361755670820466,0.01017238033975748,0.7306834229684289,0.0056404626232227926
MulT,modality_rho,audio/0.3,0.6108058608058609,0.019039031947153652,0.5902637063568722,0.018504085600978083,0.6233884650524205,0.025347084932210828,0.6356775092124779,0.009881227741147249,0.7287525610650588,0.006477685190476996
MulT,modality_rho,audio/0.4,0.6080586080586081,0.019539000268637235,0.5902264143472519,0.0192023328359091,0.6239286904696316,0.025385088359931446,0.6352294525456958,0.0097056909796273,0.7279779084001089,0.007309887992789593
MulT,modality_rho,audio/0.5,0.6039377289377289,0.023162344084142424,0.5882343292478802,0.01982313500309181,0.6245239820184643,0.02499558545546261,0.6347470667422943,0.009819410243740744,0.7263645653050864,0.008695051918822203
MulT,modality_rho,text/0.1,0.6025641025641025,0.022332872524280553,0.5778546576423627,0.020140310945279773,0.6234154485320156,0.01381029238701017,0.627347611632692,0.0062417853892142595,0.7225474978168689,0.005842124227545532
MulT,modality_rho,text/0.2,0.5934065934065934,0.025710430661843302,0.5671742704553175,0.026242286729900657,0.6274070211800478,0.010396741382283407,0.6174371041081508,0.0035517623497285777,0.7161828947631612,0.00892496479836783
MulT,modality_rho,text/0.3,0.5821123321123322,0.027629790016797585,0.5561214688907368,0.028395077526106094,0.6353712472615488,0.011650774088793696,0.60647705871893,0.0032220883095411207,0.7088942806214023,0.010555752280266041
MulT,modality_rho,text/0.4,0.567002442002442,0.031855542192011074,0.5405403865285289,0.03268292163876512,0.6459397436409589,0.014089069845952719,0.5937207519956186,0.006570866226575779,0.699186645147155,0.013599487443680707
MulT,modality_rho,text/0.5,0.5463980463980463,0.03687058531354145,0.520258874725267,0.038886434157150276,0.6651450062053499,0.016628449409920722,0.5678931923687778,0.01266439093138348,0.6849365040683694,0.017808622952024105
MulT,modality_rho,vision/0.1,0.621031746031746,0.014372719617818757,0.5918124660345848,0.023753390593049675,0.6235625218416385,0.0272038204568839,0.6368736571296059,0.011457005012109956,0.7318384884143818,0.004908855949070472
MulT,modality_rho,vision/0.2,0.61996336996337,0.011102889792108148,0.5896329115062368,0.025794986718163698,0.625136756414368,0.028922280185571574,0.6370214119141889,0.01130154506253208,0.7309793820060767,0.005014791888294132
MulT,modality_rho,vision/0.3,0.6188949938949939,0.007855378041793483,0.5885522227212814,0.026211397915323464,0.6276485269590166,0.030408717809831478,0.6360390175881607,0.010981482394199792,0.7302146593959632,0.0053033062733853775
MulT,modality_rho,vision/0.4,0.6170634920634921,0.009866481293586037,0.5858714327049704,0.02309743653940351,0.6305241275519606,0.031453469972809955,0.6350601582228986,0.010864695202952473,0.7288444123219796,0.003894421503814844
MulT,modality_rho,vision/0.5,0.6132478632478633,0.013344012817090599,0.580496585021879,0.021936494117563755,0.633754864930356,0.03228157304468304,0.6332032737539068,0.010371537263190355,0.7261800685812424,0.00338564311052976
