model,seed,category,group,accuracy,macro_f1,mae,pearson,selection_score
TFN,44,modality_rho,text/0.1,0.6011904761904762,0.5746355055889221,0.6398378888370244,0.600585551940429,0.7173697774025272
TFN,44,modality_rho,text/0.2,0.5695970695970696,0.5461895097426737,0.6578981239594274,0.5619999748995225,0.6967842198657334
TFN,44,modality_rho,text/0.3,0.5453296703296703,0.5188327646607477,0.6669230985373341,0.5267213148131594,0.6790923106601938
TFN,44,modality_rho,text/0.4,0.5247252747252747,0.49292760044076467,0.6703762710589111,0.5015119270762511,0.6641698650485865
TFN,44,modality_rho,text/0.5,0.5119047619047619,0.4750794226141243,0.674777043232824,0.475450143931319,0.6530616039864354
TFN,44,modality_location,text/early,0.6043956043956044,0.57770340906852,0.6354852295736526,0.6071876241136679,0.719944655148004
TFN,44,modality_location,text/middle,0.592032967032967,0.5713334438663454,0.6330795319597391,0.5836331990378428,0.7124174387729026
TFN,44,modality_location,text/late,0.4552197802197802,0.41556202889347393,0.7173226938419208,0.40894052444489787,0.6139245722571791
TFN,44,modality_rho,audio/0.1,0.6007326007326007,0.5767367473457505,0.6267577855550981,0.6181530332875776,0.7205215584490726
TFN,44,modality_rho,audio/0.2,0.5897435897435898,0.5777385438467076,0.6199147513156736,0.619904151501057,0.7185287710303868
TFN,44,modality_rho,audio/0.3,0.586996336996337,0.5816693793747654,0.6195813713888655,0.6211616633595782,0.7189957465381868
TFN,44,modality_rho,audio/0.4,0.5810439560439561,0.578758199567316,0.623613990461215,0.6213815700884562,0.7166393188946577
TFN,44,modality_rho,audio/0.5,0.5663919413919414,0.5651275462883245,0.6301681848120066,0.6223519405433611,0.7094168567874863
TFN,44,modality_location,audio/early,0.5857142857142857,0.5760371157201121,0.6249645102032266,0.6199278290388438,0.7168886410633205
TFN,44,modality_location,audio/middle,0.5813186813186814,0.5740330863295992,0.6235485153272747,0.6218364322078027,0.715586307799409
TFN,44,modality_location,audio/late,0.5879120879120879,0.5779480478040072,0.623508624589214,0.6200071540213716,0.7179864021571447
TFN,44,modality_rho,vision/0.1,0.6098901098901099,0.5796704502244301,0.6344938096556225,0.615815492313213,0.7229298344988023
TFN,44,modality_rho,vision/0.2,0.6135531135531136,0.583737500929088,0.6341054481403022,0.6159237985097765,0.7248920680950932
TFN,44,modality_rho,vision/0.3,0.6144688644688645,0.5837263326791183,0.6341028321370646,0.6155273389535397,0.7250687653171438
TFN,44,modality_rho,vision/0.4,0.6117216117216118,0.580768475025932,0.6341516884613523,0.6149516910231452,0.7235684960455561
TFN,44,modality_rho,vision/0.5,0.6126373626373627,0.5814256876781391,0.6349008068043206,0.613580760860145,0.7237591574028802
TFN,44,modality_location,vision/early,0.6120879120879121,0.5810288273884512,0.6345506252291111,0.6154127329958216,0.7237661671090223
TFN,44,modality_location,vision/middle,0.6142857142857143,0.5836859427488205,0.6348841632255814,0.6143590330644368,0.7248342865906224
TFN,44,modality_location,vision/late,0.610989010989011,0.5808822977847529,0.633617962664505,0.6157076829356332,0.7235305391160407
MulT,42,by_ratio,0.1,0.6282051282051282,0.5648685891286728,0.6484197162976431,0.6393756475014188,0.726172897092059
MulT,42,by_ratio,0.2,0.6239316239316239,0.5601130984971062,0.6482249850154795,0.6346924051867395,0.7233383568798799
MulT,42,by_ratio,0.3,0.6167582417582417,0.5544706168203072,0.6510581443102187,0.6295263437541639,0.7193705849343153
MulT,42,by_ratio,0.4,0.6103479853479854,0.5490960994193939,0.6549741973741132,0.6239082941662369,0.7155589664053696
